Order ID,Color,Cost,countryCode,"Month, Day, Year of Date",ASIN,Size,Store,Price,Sales,Units
64407f3ec0c3edd418f50a6e,Black,31.1,DE,"April 17, 2023",B09JG59MGK,120mm,Dracaena Store,55.8625,55.8625,1
64407f3ec0c3edd418f50a69,Black,31.1,DE,"April 12, 2023",B09JG59MGK,120mm,Dracaena Store,54.4891,108.9782,2
64407f3ec0c3edd418f50a70,Black,31.1,DE,"April 19, 2023",B09JG59MGK,120mm,Dracaena Store,54.4891,54.4891,1
64415f94c0c3edd41804e719,Black,31.1,MX,"December 19, 2022",B09JG59MGK,120mm,Dracaena Store,75.342,75.342,1
64416c5cc0c3edd41805e1c7,Black,31.1,CA,"November 23, 2022",B09JG59MGK,120mm,Dracaena Store,52.44,52.44,1
64416c5cc0c3edd41805e1c9,Black,31.1,CA,"November 25, 2022",B09JG59MGK,120mm,Dracaena Store,42.5524,42.5524,1
64416c5cc0c3edd41805e1cb,Black,31.1,CA,"November 27, 2022",B09JG59MGK,120mm,Dracaena Store,42.5524,170.2096,4
64416c5cc0c3edd41805e1cc,Black,31.1,CA,"November 28, 2022",B09JG59MGK,120mm,Dracaena Store,52.44,157.32,3
64416c5cc0c3edd41805e1d2,Black,31.1,CA,"December 4, 2022",B09JG59MGK,120mm,Dracaena Store,52.44,52.44,1
64416c5cc0c3edd41805e1d6,Black,31.1,CA,"December 8, 2022",B09JG59MGK,120mm,Dracaena Store,52.44,52.44,1
64416c5cc0c3edd41805e1d7,Black,31.1,CA,"December 9, 2022",B09JG59MGK,120mm,Dracaena Store,52.44,104.88,2
64416c5cc0c3edd41805e1d9,Black,31.1,CA,"December 11, 2022",B09JG59MGK,120mm,Dracaena Store,52.44,104.88,2
64416c5cc0c3edd41805e1da,Black,31.1,CA,"December 12, 2022",B09JG59MGK,120mm,Dracaena Store,52.44,157.32,3
64416c5cc0c3edd41805e1db,Black,31.1,CA,"December 13, 2022",B09JG59MGK,120mm,Dracaena Store,58.5124,58.5124,1
64416c5cc0c3edd41805e1dd,Black,31.1,CA,"December 15, 2022",B09JG59MGK,120mm,Dracaena Store,58.5124,58.5124,1
64416c5cc0c3edd41805e1de,Black,31.1,CA,"December 16, 2022",B09JG59MGK,120mm,Dracaena Store,58.5124,58.5124,1
64416c5cc0c3edd41805e1e0,Black,31.1,CA,"December 18, 2022",B09JG59MGK,120mm,Dracaena Store,58.5124,58.5124,1
64416c5cc0c3edd41805e1e1,Black,31.1,CA,"December 19, 2022",B09JG59MGK,120mm,Dracaena Store,58.5124,58.5124,1
64418aaec0c3edd41807ea8d,Black,31.1,GB,"January 20, 2023",B09JG59MGK,120mm,Dracaena Store,65.3923,65.3923,1
64418aaec0c3edd41807ea8e,Black,31.1,GB,"January 21, 2023",B09JG59MGK,120mm,Dracaena Store,59.944,119.888,2
64418aaec0c3edd41807ea9d,Black,31.1,GB,"February 5, 2023",B09JG59MGK,120mm,Dracaena Store,65.3923,65.3923,1
64418aaec0c3edd41807ea9e,Black,31.1,GB,"February 6, 2023",B09JG59MGK,120mm,Dracaena Store,65.3923,65.3923,1
64418aaec0c3edd41807ea9f,Black,31.1,GB,"February 7, 2023",B09JG59MGK,120mm,Dracaena Store,65.3923,65.3923,1
64418aaec0c3edd41807ea91,Black,31.1,GB,"January 24, 2023",B09JG59MGK,120mm,Dracaena Store,65.3923,65.3923,1
64418aaec0c3edd41807ea92,Black,31.1,GB,"January 25, 2023",B09JG59MGK,120mm,Dracaena Store,65.3923,65.3923,1
64418aaec0c3edd41807ea94,Black,31.1,GB,"January 27, 2023",B09JG59MGK,120mm,Dracaena Store,65.3923,130.7846,2
64418aaec0c3edd41807ea95,Black,31.1,GB,"January 28, 2023",B09JG59MGK,120mm,Dracaena Store,65.3923,65.3923,1
64418aaec0c3edd41807ea97,Black,31.1,GB,"January 30, 2023",B09JG59MGK,120mm,Dracaena Store,65.3923,65.3923,1
64418aaec0c3edd41807ea98,Black,31.1,GB,"January 31, 2023",B09JG59MGK,120mm,Dracaena Store,65.3923,65.3923,1
64418aaec0c3edd41807eaa3,Black,31.1,GB,"February 11, 2023",B09JG59MGK,120mm,Dracaena Store,65.3923,65.3923,1
64418aaec0c3edd41807eaaa,Black,31.1,GB,"February 18, 2023",B09JG59MGK,120mm,Dracaena Store,65.3923,65.3923,1
64418accc0c3edd41807ec6b,Black,41.1,GB,"February 17, 2023",B09JG4TTP2,240mmm,Dracaena Store,79.9973,79.9973,1
64424b22c0c3edd41815b48b,Black,31.1,DE,"December 9, 2022",B09JG59MGK,120mm,Dracaena Store,61.0509,61.0509,1
64424b22c0c3edd41815b48e,Black,31.1,DE,"December 12, 2022",B09JG59MGK,120mm,Dracaena Store,61.0509,61.0509,1
64424b22c0c3edd41815b491,Black,31.1,DE,"December 15, 2022",B09JG59MGK,120mm,Dracaena Store,61.0509,61.0509,1
64424b22c0c3edd41815b492,Black,31.1,DE,"December 16, 2022",B09JG59MGK,120mm,Dracaena Store,61.0509,61.0509,1
64424bb5c0c3edd41815c03d,Black,31.1,JP,"December 4, 2022",B09JG59MGK,120mm,Dracaena Store,67.186,67.186,1
64424bb5c0c3edd41815c04b,Black,31.1,JP,"December 18, 2022",B09JG59MGK,120mm,Dracaena Store,55.993,55.993,1
64424bb5c0c3edd41815c031,Black,31.1,JP,"November 22, 2022",B09JG59MGK,120mm,Dracaena Store,46.186,46.186,1
64424bb5c0c3edd41815c032,Black,31.1,JP,"November 23, 2022",B09JG59MGK,120mm,Dracaena Store,46.186,46.186,1
64424bb5c0c3edd41815c033,Black,31.1,JP,"November 24, 2022",B09JG59MGK,120mm,Dracaena Store,46.186,46.186,1
64424bb5c0c3edd41815c034,Black,31.1,JP,"November 25, 2022",B09JG59MGK,120mm,Dracaena Store,46.186,46.186,1
64424bb5c0c3edd41815c036,Black,31.1,JP,"November 27, 2022",B09JG59MGK,120mm,Dracaena Store,54.586,272.93,5
64424bb5c0c3edd41815c038,Black,31.1,JP,"November 29, 2022",B09JG59MGK,120mm,Dracaena Store,67.186,67.186,1
64424bb5c0c3edd41815c048,Black,31.1,JP,"December 15, 2022",B09JG59MGK,120mm,Dracaena Store,55.993,55.993,1
64424bb5c0c3edd41815c049,Black,31.1,JP,"December 16, 2022",B09JG59MGK,120mm,Dracaena Store,55.993,55.993,1
64424bcac0c3edd41815c1a4,Black,41.1,JP,"December 3, 2022",B09JG4TTP2,240mmm,Dracaena Store,84.581,84.581,1
64424be4c0c3edd41815c34f,Black,51,DE,"December 9, 2022",B09JG5X1PY,360mm,Dracaena Store,94.83,94.83,1
64424be4c0c3edd41815c357,Black,51,DE,"December 17, 2022",B09JG5X1PY,360mm,Dracaena Store,94.83,94.83,1
64424c68c0c3edd41815cc7b,Black,41.1,DE,"December 17, 2022",B09JG4TTP2,240mmm,Dracaena Store,74.1091,74.1091,1
64424c68c0c3edd41815cc62,Black,41.1,DE,"November 22, 2022",B09JG4TTP2,240mmm,Dracaena Store,65.4,65.4,1
64424c68c0c3edd41815cc72,Black,41.1,DE,"December 8, 2022",B09JG4TTP2,240mmm,Dracaena Store,65.4,65.4,1
64424c68c0c3edd41815cc73,Black,41.1,DE,"December 9, 2022",B09JG4TTP2,240mmm,Dracaena Store,65.4,65.4,1
64424c68c0c3edd41815cc75,Black,41.1,DE,"December 11, 2022",B09JG4TTP2,240mmm,Dracaena Store,65.4,65.4,1
64424c68c0c3edd41815cc77,Black,41.1,DE,"December 13, 2022",B09JG4TTP2,240mmm,Dracaena Store,65.4,65.4,1
64425b5ac0c3edd4181688e3,Black,51,US,"February 8, 2023",B09JG5X1PY,360mm,Dracaena Store,86.99,86.99,1
64425beec0c3edd4181690ae,Black,31.1,US,"January 24, 2023",B09JG59MGK,120mm,Dracaena Store,58.99,58.99,1
64425beec0c3edd4181690af,Black,31.1,US,"January 25, 2023",B09JG59MGK,120mm,Dracaena Store,52,52,1
64427bf6dc352d950f443a83,Black,31.1,US,"December 22, 2022",B09JG59MGK,120mm,Ingenious Store,56.99,569.9,10
64427bf6dc352d950f443a84,Black,31.1,US,"December 23, 2022",B09JG59MGK,120mm,Ingenious Store,56.99,512.91,9
64427bf6dc352d950f443a85,Black,31.1,US,"December 24, 2022",B09JG59MGK,120mm,Ingenious Store,56.99,284.95,5
64427bf6dc352d950f443a86,Black,31.1,US,"December 25, 2022",B09JG59MGK,120mm,Ingenious Store,56.99,512.91,9
64427bf6dc352d950f443a87,Black,31.1,US,"December 26, 2022",B09JG59MGK,120mm,Ingenious Store,56.99,797.86,14
64427bf6dc352d950f443a88,Black,31.1,US,"December 27, 2022",B09JG59MGK,120mm,Ingenious Store,56.99,740.87,13
64427bf9dc352d950f443aa2,Black,41.1,US,"December 23, 2022",B09JG4TTP2,240mmm,Ingenious Store,75.99,151.98,2
64427bf9dc352d950f443aa4,Black,41.1,US,"December 25, 2022",B09JG4TTP2,240mmm,Ingenious Store,75.99,151.98,2
64427bf9dc352d950f443aa5,Black,41.1,US,"December 26, 2022",B09JG4TTP2,240mmm,Ingenious Store,75.99,151.98,2
64427bf9dc352d950f443aa6,Black,41.1,US,"December 27, 2022",B09JG4TTP2,240mmm,Ingenious Store,75.99,227.97,3
64427c5ec0c3edd418191627,Black,31.1,JP,"January 25, 2023",B09JG59MGK,120mm,Dracaena Store,55.993,55.993,1
64427c5ec0c3edd418191628,Black,31.1,JP,"January 26, 2023",B09JG59MGK,120mm,Dracaena Store,55.993,55.993,1
64427c75c0c3edd4181917e5,Black,41.1,JP,"January 21, 2023",B09JG4TTP2,240mmm,Dracaena Store,84.693,169.386,2
64427c75c0c3edd4181917e6,Black,41.1,JP,"January 22, 2023",B09JG4TTP2,240mmm,Dracaena Store,84.693,84.693,1
641365ec1bb907e393b1f5b8,Black,31.1,US,"October 17, 2022",B09JG59MGK,120mm,Dracaena Store,47.27,520,11
641679f71bb907e393d0252e,Black,31.1,US,"October 19, 2022",B09JG59MGK,120mm,Dracaena Store,52,312,6
642279ef8c830bbda3ab520f,Black,31.1,GB,"November 3, 2022",B09JG59MGK,120mm,Dracaena Store,58.42,116.84,2
642279ef8c830bbda3ab5211,Black,31.1,GB,"November 5, 2022",B09JG59MGK,120mm,Dracaena Store,58.42,58.42,1
642283cb8c830bbda3abf367,Black,31.1,DE,"October 28, 2022",B09JG59MGK,120mm,Dracaena Store,61.0509,61.0509,1
642704d78c830bbda3fe3b27,Black,31.1,JP,"November 1, 2022",B09JG59MGK,120mm,Dracaena Store,53.186,53.186,1
642784ce8c830bbda3077223,Black,31.1,CA,"November 1, 2022",B09JG59MGK,120mm,Dracaena Store,52.44,52.44,1
644076ecc0c3edd418f4690d,Black,31.1,GB,"April 14, 2023",B09JG59MGK,120mm,Dracaena Store,65.3923,65.3923,1
644076ecc0c3edd418f46911,Black,31.1,GB,"April 18, 2023",B09JG59MGK,120mm,Dracaena Store,65.3923,65.3923,1
644090e4c0c3edd418f63d03,Black,31.1,SE,"March 23, 2023",B09JG59MGK,120mm,Dracaena Store,55.149,55.149,1
644183c4c0c3edd418077fb1,Black,41.1,US,"November 25, 2022",B09JG4TTP2,240mmm,Dracaena Store,62,62,1
644183c4c0c3edd418077fb3,Black,41.1,US,"November 27, 2022",B09JG4TTP2,240mmm,Dracaena Store,69.99,69.99,1
644183c4c0c3edd418077fb4,Black,41.1,US,"November 28, 2022",B09JG4TTP2,240mmm,Dracaena Store,75.99,151.98,2
644183cbc0c3edd41807802a,Black,51,US,"November 26, 2022",B09JG5X1PY,360mm,Dracaena Store,86.99,86.99,1
644183cbc0c3edd41807802c,Black,51,US,"November 28, 2022",B09JG5X1PY,360mm,Dracaena Store,86.99,86.99,1
644183cbc0c3edd41807802d,Black,51,US,"November 29, 2022",B09JG5X1PY,360mm,Dracaena Store,86.99,86.99,1
644183cbc0c3edd41807802e,Black,51,US,"November 30, 2022",B09JG5X1PY,360mm,Dracaena Store,86.99,86.99,1
644183cbc0c3edd418078027,Black,51,US,"November 23, 2022",B09JG5X1PY,360mm,Dracaena Store,86,86,1
644183cbc0c3edd418078029,Black,51,US,"November 25, 2022",B09JG5X1PY,360mm,Dracaena Store,86,86,1
644183cbc0c3edd418078030,Black,51,US,"December 2, 2022",B09JG5X1PY,360mm,Dracaena Store,86.99,260.97,3
644183cbc0c3edd418078031,Black,51,US,"December 3, 2022",B09JG5X1PY,360mm,Dracaena Store,86.99,173.98,2
644183cbc0c3edd418078033,Black,51,US,"December 5, 2022",B09JG5X1PY,360mm,Dracaena Store,86.99,86.99,1
644243d9c0c3edd41815201d,Black,31.1,CA,"January 21, 2023",B09JG59MGK,120mm,Dracaena Store,58.5124,58.5124,1
644243d9c0c3edd418152021,Black,31.1,CA,"January 25, 2023",B09JG59MGK,120mm,Dracaena Store,58.5124,117.0248,2
644243d9c0c3edd418152022,Black,31.1,CA,"January 26, 2023",B09JG59MGK,120mm,Dracaena Store,58.5124,58.5124,1
