Order ID,Color,Cost,countryCode,"Month, Day, Year of Date",ASIN,Size,Store,Price,Sales,Units,Profit
63d18651dba2fe37f0697cc7,Black,31.1,US,15-Dec-21,B09JG59MGK,120mm,Dracaena Store,45.99,45.99,1,14.89
63d18651dba2fe37f0697cce,Black,31.1,US,22-Dec-21,B09JG59MGK,120mm,Dracaena Store,45.99,91.98,2,29.78
63d18651dba2fe37f0697cd1,Black,31.1,US,25-Dec-21,B09JG59MGK,120mm,Dracaena Store,45,45,1,13.9
63d18651dba2fe37f0697cd2,Black,31.1,US,26-Dec-21,B09JG59MGK,120mm,Dracaena Store,45,90,2,27.8
63d18651dba2fe37f0697cd3,Black,31.1,US,27-Dec-21,B09JG59MGK,120mm,Dracaena Store,45,45,1,13.9
63d18651dba2fe37f0697cd4,Black,31.1,US,28-Dec-21,B09JG59MGK,120mm,Dracaena Store,45,45,1,13.9
63e2f6ec58ed550a45d8ba5a,Black,31.1,US,10-Sep-22,B09JG59MGK,120mm,Dracaena Store,52,52,1,20.9
63e4741d58ed550a45f84c6c,Black,41.1,US,11-Sep-22,B09JG4TTP2,240mmm,Dracaena Store,69,69,1,27.9
63e4748c58ed550a45f8524a,Black,31.1,US,13-Sep-22,B09JG59MGK,120mm,Dracaena Store,52,156,3,62.7
63e4748c58ed550a45f85248,Black,31.1,US,11-Sep-22,B09JG59MGK,120mm,Dracaena Store,52,104,2,41.8
63e869157d111e070f946be3,Black,31.1,US,14-Sep-22,B09JG59MGK,120mm,Dracaena Store,52,52,1,20.9
63ea5f54b65d634d6936bd98,Black,41.1,US,16-Sep-22,B09JG4TTP2,240mmm,Dracaena Store,69,69,1,27.9
63ea5fccb65d634d6936cb8a,Black,31.1,US,16-Sep-22,B09JG59MGK,120mm,Dracaena Store,52,52,1,20.9
63eb02cab65d634d6946328e,Black,41.1,CA,19-Sep-22,B09JG4TTP2,240mmm,Dracaena Store,60.04,60.04,1,18.94
63eb132cb65d634d6948002a,Black,41.1,US,21-Sep-22,B09JG4TTP2,240mmm,Dracaena Store,69,69,1,27.9
63eb132cb65d634d69480027,Black,41.1,US,18-Sep-22,B09JG4TTP2,240mmm,Dracaena Store,69,69,1,27.9
